,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.74916,0.665624,0.641542,0.74916,perturb_2_verb_clusters,microsoft/Multilingual-MiniLM-L12-H384
1,0.74916,0.665624,0.641542,0.74916,perturb_als_in_comparative_constructions,microsoft/Multilingual-MiniLM-L12-H384
2,0.74916,0.665624,0.616944,0.74692,perturb_am_infinitive,microsoft/Multilingual-MiniLM-L12-H384
3,0.74916,0.665624,0.641542,0.74916,perturb_article_before_personal_name,microsoft/Multilingual-MiniLM-L12-H384
4,0.74916,0.665624,0.621504,0.74916,perturb_contracted_verb_and_pronoun,microsoft/Multilingual-MiniLM-L12-H384
5,0.74916,0.665624,0.641542,0.74916,perturb_da,microsoft/Multilingual-MiniLM-L12-H384
6,0.74916,0.665624,0.640153,0.74916,perturb_denn_in_questions,microsoft/Multilingual-MiniLM-L12-H384
7,0.74916,0.665624,0.641542,0.74916,perturb_double_article,microsoft/Multilingual-MiniLM-L12-H384
8,0.74916,0.665624,0.641542,0.74916,perturb_existential_clause,microsoft/Multilingual-MiniLM-L12-H384
9,0.74916,0.665624,0.641542,0.74916,perturb_genitive_to_dativ,microsoft/Multilingual-MiniLM-L12-H384
10,0.74916,0.665624,0.640919,0.74916,perturb_in,microsoft/Multilingual-MiniLM-L12-H384
11,0.74916,0.665624,0.641248,0.74916,perturb_nach,microsoft/Multilingual-MiniLM-L12-H384
12,0.74916,0.665624,0.641542,0.74916,perturb_negative_concord,microsoft/Multilingual-MiniLM-L12-H384
13,0.74916,0.665624,0.641542,0.74916,perturb_possesive_genitive,microsoft/Multilingual-MiniLM-L12-H384
14,0.74916,0.665624,0.641319,0.74916,perturb_relative_pronoun,microsoft/Multilingual-MiniLM-L12-H384
15,0.74916,0.665624,0.636852,0.7514,perturb_schwa_elision_in_verbs,microsoft/Multilingual-MiniLM-L12-H384
16,0.74916,0.665624,0.641542,0.74916,perturb_swap_name,microsoft/Multilingual-MiniLM-L12-H384
17,0.74916,0.665624,0.570539,0.74804,perturb_tun_imperativ,microsoft/Multilingual-MiniLM-L12-H384
18,0.75252,0.58405,0.564959,0.75252,perturb_2_verb_clusters,distilbert-base-multilingual-cased
19,0.75252,0.58405,0.564442,0.75252,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
20,0.75252,0.58405,0.543906,0.74916,perturb_am_infinitive,distilbert-base-multilingual-cased
21,0.75252,0.58405,0.564535,0.75252,perturb_article_before_personal_name,distilbert-base-multilingual-cased
22,0.75252,0.58405,0.547678,0.75252,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
23,0.75252,0.58405,0.564535,0.75252,perturb_da,distilbert-base-multilingual-cased
24,0.75252,0.58405,0.563213,0.75252,perturb_denn_in_questions,distilbert-base-multilingual-cased
25,0.75252,0.58405,0.564535,0.75252,perturb_double_article,distilbert-base-multilingual-cased
26,0.75252,0.58405,0.564535,0.75252,perturb_existential_clause,distilbert-base-multilingual-cased
27,0.75252,0.58405,0.564535,0.75252,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
28,0.75252,0.58405,0.56577,0.75252,perturb_in,distilbert-base-multilingual-cased
29,0.75252,0.58405,0.564026,0.75252,perturb_nach,distilbert-base-multilingual-cased
30,0.75252,0.58405,0.564535,0.75252,perturb_negative_concord,distilbert-base-multilingual-cased
31,0.75252,0.58405,0.564535,0.75252,perturb_possesive_genitive,distilbert-base-multilingual-cased
32,0.75252,0.58405,0.564671,0.75252,perturb_relative_pronoun,distilbert-base-multilingual-cased
33,0.75252,0.58405,0.564383,0.754759,perturb_schwa_elision_in_verbs,distilbert-base-multilingual-cased
34,0.75252,0.58405,0.564535,0.75252,perturb_swap_name,distilbert-base-multilingual-cased
35,0.75252,0.58405,0.51316,0.74916,perturb_tun_imperativ,distilbert-base-multilingual-cased
36,0.725644,0.572431,0.553959,0.725644,perturb_2_verb_clusters,distilbert-base-multilingual-cased
37,0.725644,0.572431,0.553774,0.725644,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
38,0.725644,0.572431,0.531457,0.725644,perturb_am_infinitive,distilbert-base-multilingual-cased
39,0.725644,0.572431,0.553959,0.725644,perturb_article_before_personal_name,distilbert-base-multilingual-cased
40,0.725644,0.572431,0.537767,0.725644,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
41,0.725644,0.572431,0.553959,0.725644,perturb_da,distilbert-base-multilingual-cased
42,0.725644,0.572431,0.552957,0.725644,perturb_denn_in_questions,distilbert-base-multilingual-cased
43,0.725644,0.572431,0.553959,0.725644,perturb_double_article,distilbert-base-multilingual-cased
44,0.725644,0.572431,0.553959,0.725644,perturb_existential_clause,distilbert-base-multilingual-cased
45,0.725644,0.572431,0.553959,0.725644,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
46,0.725644,0.572431,0.553199,0.725644,perturb_in,distilbert-base-multilingual-cased
47,0.725644,0.572431,0.536627,0.725644,perturb_nach,distilbert-base-multilingual-cased
48,0.725644,0.572431,0.553959,0.725644,perturb_negative_concord,distilbert-base-multilingual-cased
49,0.725644,0.572431,0.553959,0.725644,perturb_possesive_genitive,distilbert-base-multilingual-cased
50,0.725644,0.572431,0.55268,0.725644,perturb_relative_pronoun,distilbert-base-multilingual-cased
51,0.725644,0.572431,0.554366,0.725644,perturb_schwa_elision_in_verbs,distilbert-base-multilingual-cased
52,0.725644,0.572431,0.553959,0.725644,perturb_swap_name,distilbert-base-multilingual-cased
53,0.725644,0.572431,0.507633,0.724524,perturb_tun_imperativ,distilbert-base-multilingual-cased
54,0.787234,0.794477,0.763719,0.787234,perturb_2_verb_clusters,xlm-roberta-base
55,0.787234,0.794477,0.763719,0.787234,perturb_als_in_comparative_constructions,xlm-roberta-base
56,0.787234,0.794477,0.72972,0.783875,perturb_am_infinitive,xlm-roberta-base
57,0.787234,0.794477,0.763719,0.787234,perturb_article_before_personal_name,xlm-roberta-base
58,0.787234,0.794477,0.742398,0.787234,perturb_contracted_verb_and_pronoun,xlm-roberta-base
59,0.787234,0.794477,0.763719,0.787234,perturb_da,xlm-roberta-base
60,0.787234,0.794477,0.761971,0.787234,perturb_denn_in_questions,xlm-roberta-base
61,0.787234,0.794477,0.763719,0.787234,perturb_double_article,xlm-roberta-base
62,0.787234,0.794477,0.763719,0.787234,perturb_existential_clause,xlm-roberta-base
63,0.787234,0.794477,0.763719,0.787234,perturb_genitive_to_dativ,xlm-roberta-base
64,0.787234,0.794477,0.760175,0.787234,perturb_in,xlm-roberta-base
65,0.787234,0.794477,0.759366,0.787234,perturb_nach,xlm-roberta-base
66,0.787234,0.794477,0.763719,0.787234,perturb_negative_concord,xlm-roberta-base
67,0.787234,0.794477,0.763719,0.787234,perturb_possesive_genitive,xlm-roberta-base
68,0.787234,0.794477,0.765199,0.787234,perturb_relative_pronoun,xlm-roberta-base
69,0.787234,0.794477,0.764253,0.786114,perturb_schwa_elision_in_verbs,xlm-roberta-base
70,0.787234,0.794477,0.763719,0.787234,perturb_swap_name,xlm-roberta-base
71,0.787234,0.794477,0.688089,0.784994,perturb_tun_imperativ,xlm-roberta-base
