,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.966028,0.889151,0.839682,0.965116,acomp_focusing_like,bert-base-multilingual-cased
1,0.966028,0.889151,0.861151,0.9658,aint_be,bert-base-multilingual-cased
2,0.966028,0.889151,0.860885,0.9658,aint_before_main,bert-base-multilingual-cased
3,0.966028,0.889151,0.861151,0.9658,aint_have,bert-base-multilingual-cased
4,0.966028,0.889151,0.839841,0.9658,analytic_superlative,bert-base-multilingual-cased
5,0.966028,0.889151,0.861151,0.9658,analytic_whose_relativizer,bert-base-multilingual-cased
6,0.966028,0.889151,0.861151,0.9658,anaphoric_it,bert-base-multilingual-cased
7,0.966028,0.889151,0.861027,0.9658,bare_past_tense,bert-base-multilingual-cased
8,0.966028,0.889151,0.860761,0.965344,bare_perfect,bert-base-multilingual-cased
9,0.966028,0.889151,0.86108,0.966028,be_perfect,bert-base-multilingual-cased
10,0.966028,0.889151,0.856115,0.965572,benefactive_dative,bert-base-multilingual-cased
11,0.966028,0.889151,0.861204,0.966028,chaining_main_verbs,bert-base-multilingual-cased
12,0.966028,0.889151,0.812148,0.9544,clefting,bert-base-multilingual-cased
13,0.966028,0.889151,0.859964,0.9658,come_future,bert-base-multilingual-cased
14,0.966028,0.889151,0.861151,0.9658,comparative_as_to,bert-base-multilingual-cased
15,0.966028,0.889151,0.861151,0.9658,comparative_more_and,bert-base-multilingual-cased
16,0.966028,0.889151,0.861151,0.9658,comparative_than,bert-base-multilingual-cased
17,0.966028,0.889151,0.854058,0.9658,completive_done,bert-base-multilingual-cased
18,0.966028,0.889151,0.851806,0.9658,completive_have_done,bert-base-multilingual-cased
19,0.966028,0.889151,0.861151,0.9658,conditional_were_was,bert-base-multilingual-cased
20,0.966028,0.889151,0.860902,0.9658,corr_conjunction_doubling,bert-base-multilingual-cased
21,0.966028,0.889151,0.861151,0.9658,degree_adj_for_adv,bert-base-multilingual-cased
22,0.966028,0.889151,0.857107,0.965572,demonstrative_for_definite_articles,bert-base-multilingual-cased
23,0.966028,0.889151,0.375928,0.928637,do_tense_marker,bert-base-multilingual-cased
24,0.966028,0.889151,0.861204,0.9658,dont,bert-base-multilingual-cased
25,0.966028,0.889151,0.860778,0.9658,double_comparative,bert-base-multilingual-cased
26,0.966028,0.889151,0.787913,0.966028,double_modals,bert-base-multilingual-cased
27,0.966028,0.889151,0.839945,0.9658,double_superlative,bert-base-multilingual-cased
28,0.966028,0.889151,0.843948,0.966028,drop_aux_be_progressive,bert-base-multilingual-cased
29,0.966028,0.889151,0.852089,0.9658,drop_aux_have,bert-base-multilingual-cased
