,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.700197,0.675749,0.674766,0.699915,perturb_2_verb_clusters,bert-base-multilingual-cased
1,0.700197,0.675749,0.675385,0.700197,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
2,0.700197,0.675749,0.670353,0.698507,perturb_am_infinitive,bert-base-multilingual-cased
3,0.700197,0.675749,0.548098,0.69738,perturb_article_before_personal_name,bert-base-multilingual-cased
4,0.700197,0.675749,0.638885,0.698788,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
5,0.700197,0.675749,0.67523,0.700197,perturb_da,bert-base-multilingual-cased
6,0.700197,0.675749,0.527328,0.696816,perturb_denn_in_questions,bert-base-multilingual-cased
7,0.700197,0.675749,0.675438,0.700197,perturb_double_article,bert-base-multilingual-cased
8,0.700197,0.675749,0.675438,0.700197,perturb_existential_clause,bert-base-multilingual-cased
9,0.700197,0.675749,0.668794,0.700479,perturb_genitive_to_dativ,bert-base-multilingual-cased
10,0.700197,0.675749,0.674627,0.701043,perturb_in,bert-base-multilingual-cased
11,0.700197,0.675749,0.675802,0.700197,perturb_nach,bert-base-multilingual-cased
12,0.700197,0.675749,0.675282,0.700761,perturb_negative_concord,bert-base-multilingual-cased
13,0.700197,0.675749,0.671644,0.700197,perturb_possesive_genitive,bert-base-multilingual-cased
14,0.700197,0.675749,0.675027,0.69907,perturb_relative_pronoun,bert-base-multilingual-cased
15,0.700197,0.675749,0.672394,0.699352,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
16,0.700197,0.675749,0.581677,0.628346,perturb_swap_name,bert-base-multilingual-cased
17,0.700197,0.675749,0.651761,0.693435,perturb_tun_imperativ,bert-base-multilingual-cased
18,0.605241,0.594733,0.594239,0.605523,perturb_2_verb_clusters,distilbert-base-multilingual-cased
19,0.605241,0.594733,0.594684,0.605241,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
20,0.605241,0.594733,0.589029,0.60186,perturb_am_infinitive,distilbert-base-multilingual-cased
21,0.605241,0.594733,0.461918,0.600451,perturb_article_before_personal_name,distilbert-base-multilingual-cased
22,0.605241,0.594733,0.560409,0.603269,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
23,0.605241,0.594733,0.594452,0.605241,perturb_da,distilbert-base-multilingual-cased
24,0.605241,0.594733,0.459426,0.603269,perturb_denn_in_questions,distilbert-base-multilingual-cased
25,0.605241,0.594733,0.594568,0.605241,perturb_double_article,distilbert-base-multilingual-cased
26,0.605241,0.594733,0.594568,0.605241,perturb_existential_clause,distilbert-base-multilingual-cased
27,0.605241,0.594733,0.587529,0.606086,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
28,0.605241,0.594733,0.593307,0.604959,perturb_in,distilbert-base-multilingual-cased
29,0.605241,0.594733,0.594715,0.604959,perturb_nach,distilbert-base-multilingual-cased
30,0.605241,0.594733,0.594403,0.605804,perturb_negative_concord,distilbert-base-multilingual-cased
31,0.605241,0.594733,0.591508,0.604959,perturb_possesive_genitive,distilbert-base-multilingual-cased
32,0.605241,0.594733,0.594221,0.605523,perturb_relative_pronoun,distilbert-base-multilingual-cased
33,0.605241,0.594733,0.587738,0.599042,perturb_schwa_elision_in_verbs,distilbert-base-multilingual-cased
34,0.605241,0.594733,0.501287,0.542688,perturb_swap_name,distilbert-base-multilingual-cased
35,0.605241,0.594733,0.573824,0.606086,perturb_tun_imperativ,distilbert-base-multilingual-cased
36,0.904762,0.792681,0.7916,0.905044,perturb_2_verb_clusters,google/rembert
37,0.904762,0.792681,0.792078,0.904762,perturb_als_in_comparative_constructions,google/rembert
38,0.904762,0.792681,0.786038,0.903071,perturb_am_infinitive,google/rembert
39,0.904762,0.792681,0.626235,0.905607,perturb_article_before_personal_name,google/rembert
40,0.904762,0.792681,0.744097,0.904198,perturb_contracted_verb_and_pronoun,google/rembert
41,0.904762,0.792681,0.791919,0.904762,perturb_da,google/rembert
42,0.904762,0.792681,0.618445,0.903353,perturb_denn_in_questions,google/rembert
43,0.904762,0.792681,0.792078,0.904762,perturb_double_article,google/rembert
