,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.755879,0.910982,0.806384,0.755879,acomp_focusing_like,microsoft/Multilingual-MiniLM-L12-H384
1,0.755879,0.910982,0.818533,0.755879,aint_be,microsoft/Multilingual-MiniLM-L12-H384
2,0.755879,0.910982,0.818533,0.755879,aint_before_main,microsoft/Multilingual-MiniLM-L12-H384
3,0.755879,0.910982,0.818533,0.755879,aint_have,microsoft/Multilingual-MiniLM-L12-H384
4,0.755879,0.910982,0.764644,0.755879,analytic_superlative,microsoft/Multilingual-MiniLM-L12-H384
5,0.755879,0.910982,0.818533,0.755879,analytic_whose_relativizer,microsoft/Multilingual-MiniLM-L12-H384
6,0.755879,0.910982,0.818533,0.755879,anaphoric_it,microsoft/Multilingual-MiniLM-L12-H384
7,0.755879,0.910982,0.818676,0.755879,bare_past_tense,microsoft/Multilingual-MiniLM-L12-H384
8,0.755879,0.910982,0.817672,0.755879,bare_perfect,microsoft/Multilingual-MiniLM-L12-H384
9,0.755879,0.910982,0.818533,0.755879,be_perfect,microsoft/Multilingual-MiniLM-L12-H384
10,0.755879,0.910982,0.818533,0.755879,benefactive_dative,microsoft/Multilingual-MiniLM-L12-H384
11,0.755879,0.910982,0.818533,0.755879,chaining_main_verbs,microsoft/Multilingual-MiniLM-L12-H384
12,0.755879,0.910982,0.757825,0.755879,clefting,microsoft/Multilingual-MiniLM-L12-H384
13,0.755879,0.910982,0.818533,0.755879,come_future,microsoft/Multilingual-MiniLM-L12-H384
14,0.755879,0.910982,0.818533,0.755879,comparative_as_to,microsoft/Multilingual-MiniLM-L12-H384
15,0.755879,0.910982,0.818533,0.755879,comparative_more_and,microsoft/Multilingual-MiniLM-L12-H384
16,0.755879,0.910982,0.818533,0.755879,comparative_than,microsoft/Multilingual-MiniLM-L12-H384
17,0.755879,0.910982,0.818533,0.755879,completive_done,microsoft/Multilingual-MiniLM-L12-H384
18,0.755879,0.910982,0.818533,0.755879,completive_have_done,microsoft/Multilingual-MiniLM-L12-H384
19,0.755879,0.910982,0.818533,0.755879,conditional_were_was,microsoft/Multilingual-MiniLM-L12-H384
20,0.755879,0.910982,0.81748,0.755879,corr_conjunction_doubling,microsoft/Multilingual-MiniLM-L12-H384
21,0.755879,0.910982,0.818533,0.755879,degree_adj_for_adv,microsoft/Multilingual-MiniLM-L12-H384
22,0.755879,0.910982,0.818533,0.755879,demonstrative_for_definite_articles,microsoft/Multilingual-MiniLM-L12-H384
23,0.755879,0.910982,0.317266,0.755879,do_tense_marker,microsoft/Multilingual-MiniLM-L12-H384
24,0.755879,0.910982,0.818533,0.755879,dont,microsoft/Multilingual-MiniLM-L12-H384
25,0.755879,0.910982,0.81748,0.755879,double_comparative,microsoft/Multilingual-MiniLM-L12-H384
26,0.755879,0.910982,0.756008,0.755879,double_modals,microsoft/Multilingual-MiniLM-L12-H384
27,0.755879,0.910982,0.766313,0.755879,double_superlative,microsoft/Multilingual-MiniLM-L12-H384
28,0.755879,0.910982,0.816427,0.755879,drop_aux_be_progressive,microsoft/Multilingual-MiniLM-L12-H384
29,0.755879,0.910982,0.818533,0.755879,drop_aux_have,microsoft/Multilingual-MiniLM-L12-H384
30,0.755879,0.910982,0.818533,0.755879,drop_aux_wh,microsoft/Multilingual-MiniLM-L12-H384
31,0.755879,0.910982,0.813345,0.755879,drop_aux_yn,microsoft/Multilingual-MiniLM-L12-H384
32,0.755879,0.910982,0.808705,0.755879,drop_copula_be_AP,microsoft/Multilingual-MiniLM-L12-H384
33,0.755879,0.910982,0.811732,0.755879,drop_copula_be_NP,microsoft/Multilingual-MiniLM-L12-H384
34,0.755879,0.910982,0.814672,0.755879,drop_copula_be_locative,microsoft/Multilingual-MiniLM-L12-H384
35,0.755879,0.910982,0.818533,0.755879,em_subj_pronoun,microsoft/Multilingual-MiniLM-L12-H384
36,0.755879,0.910982,0.818533,0.755879,emphatic_reflex,microsoft/Multilingual-MiniLM-L12-H384
37,0.755879,0.910982,0.800982,0.755879,existential_got,microsoft/Multilingual-MiniLM-L12-H384
38,0.755879,0.910982,0.818533,0.755879,existential_it,microsoft/Multilingual-MiniLM-L12-H384
39,0.755879,0.910982,0.818533,0.755879,existential_there,microsoft/Multilingual-MiniLM-L12-H384
40,0.755879,0.910982,0.816284,0.755879,finna_future,microsoft/Multilingual-MiniLM-L12-H384
41,0.755879,0.910982,0.817959,0.755879,fixin_future,microsoft/Multilingual-MiniLM-L12-H384
42,0.755879,0.910982,0.818533,0.755879,flat_adj_for_adv,microsoft/Multilingual-MiniLM-L12-H384
43,0.755879,0.910982,0.644912,0.755879,for_to,microsoft/Multilingual-MiniLM-L12-H384
44,0.755879,0.910982,0.797824,0.755879,for_to_pupose,microsoft/Multilingual-MiniLM-L12-H384
45,0.755879,0.910982,0.815582,0.755879,future_sub_gon,microsoft/Multilingual-MiniLM-L12-H384
46,0.755879,0.910982,0.821899,0.755879,generalized_third_person_s,microsoft/Multilingual-MiniLM-L12-H384
47,0.755879,0.910982,0.818533,0.755879,got_gotten,microsoft/Multilingual-MiniLM-L12-H384
48,0.755879,0.910982,0.818533,0.755879,his_he,microsoft/Multilingual-MiniLM-L12-H384
49,0.755879,0.910982,0.818533,0.755879,if_would,microsoft/Multilingual-MiniLM-L12-H384
50,0.755879,0.910982,0.815449,0.755879,indef_one,microsoft/Multilingual-MiniLM-L12-H384
51,0.755879,0.910982,0.81536,0.755879,invariant_tag_can_or_not,microsoft/Multilingual-MiniLM-L12-H384
52,0.755879,0.910982,0.816076,0.755879,invariant_tag_non_concord,microsoft/Multilingual-MiniLM-L12-H384
53,0.755879,0.910982,0.817831,0.755879,inverted_indirect_question,microsoft/Multilingual-MiniLM-L12-H384
54,0.755879,0.910982,0.818533,0.755879,irrealis_be_done,microsoft/Multilingual-MiniLM-L12-H384
55,0.755879,0.910982,0.818533,0.755879,it_dobj,microsoft/Multilingual-MiniLM-L12-H384
56,0.755879,0.910982,0.818533,0.755879,it_is_referential,microsoft/Multilingual-MiniLM-L12-H384
57,0.755879,0.910982,0.818533,0.755879,linking_relcl,microsoft/Multilingual-MiniLM-L12-H384
58,0.755879,0.910982,0.81388,0.755879,mass_noun_plurals,microsoft/Multilingual-MiniLM-L12-H384
59,0.755879,0.910982,0.818533,0.755879,me_coordinate_subjects,microsoft/Multilingual-MiniLM-L12-H384
60,0.755879,0.910982,0.818533,0.755879,more_much,microsoft/Multilingual-MiniLM-L12-H384
61,0.755879,0.910982,0.818533,0.755879,myself_coordinate_subjects,microsoft/Multilingual-MiniLM-L12-H384
62,0.755879,0.910982,0.818533,0.755879,negative_concord,microsoft/Multilingual-MiniLM-L12-H384
63,0.755879,0.910982,0.818533,0.755879,negative_inversion,microsoft/Multilingual-MiniLM-L12-H384
64,0.755879,0.910982,0.818533,0.755879,never_negator,microsoft/Multilingual-MiniLM-L12-H384
